avg_latency,std_latency,p95_latency,p99_latency,failure_rate,timeout_rate,avg_retries,request_velocity,latency_trend,jitter,payload_trend,throughput_bytes_per_sec,time_since_success,total_requests,label
27.46,2.46,42.41,48.39,0.0,0.0,0.09,3.51,0.27,1.71,-0.08,469603,4.0,6030,stable
34.84,5.71,55.55,60.45,0.0,0.0,0.21,4.24,-0.41,1.69,-0.06,345037,0.5,37959,stable
22.74,7.93,32.76,38.71,0.0,0.0,0.19,4.87,-0.23,3.02,0.28,168958,3.6,31109,stable
32.87,2.39,50.97,60.7,0.0,0.0,0.17,4.83,-0.48,1.27,-0.04,112015,3.3,32060,stable
99.31,18.71,157.6,218.13,0.0018,0.0014,0.86,2.78,1.13,7.02,0.31,111333,18.6,11153,degrading
98.69,12.9,162.21,258.02,0.0015,0.0012,1.05,3.22,0.59,6.06,0.25,117899,13.4,11086,degrading
500.0,23.79,1411.08,1630.43,0.0519,0.0377,2.11,1.2,5.06,39.19,1.13,48511,97.1,4071,congested
1195.49,86.08,3639.99,5247.62,0.2341,0.1635,6.42,0.95,9.78,145.43,2.83,24884,174.9,3640,critical
956.41,126.84,2893.27,4507.19,0.2563,0.1749,8.71,0.3,7.17,40.94,2.96,17542,337.7,45,critical
110.98,12.03,169.17,287.11,0.0016,0.0012,0.8,2.63,0.62,8.79,0.59,77498,11.7,14994,degrading
84.51,18.12,135.26,184.64,0.0021,0.0012,0.82,2.79,2.28,13.8,0.38,82451,11.6,6910,degrading
302.41,59.81,717.39,1085.35,0.0529,0.0423,1.81,2.03,5.62,15.95,1.93,22695,53.5,7262,congested
93.41,14.71,180.37,212.32,0.0042,0.0009,0.58,2.63,0.72,14.6,0.8,139792,11.9,24333,degrading
1394.83,51.7,5339.01,8226.9,0.2192,0.156,5.43,1.0,18.76,89.82,2.9,26135,112.2,1787,critical
60.0,4.93,79.04,118.49,0.0001,0.0,0.08,3.51,0.22,4.34,0.06,325687,1.1,31487,stable
271.33,24.56,562.96,993.91,0.0554,0.0385,4.57,1.1,9.66,16.38,0.67,60859,80.9,10784,congested
35.23,3.16,49.93,69.92,0.0,0.0,0.12,4.29,0.03,4.05,0.04,386719,2.9,48130,stable
120.0,14.6,184.48,320.96,0.0032,0.0012,0.34,3.47,1.63,13.59,0.41,54259,15.4,1643,degrading
49.73,5.48,79.52,85.1,0.0001,0.0,0.21,4.66,-0.5,3.02,-0.01,449964,0.8,33656,stable
233.94,54.17,540.13,886.83,0.0605,0.0346,1.76,1.64,8.04,42.58,1.46,62967,36.6,9906,congested
47.21,7.19,73.94,88.48,0.0,0.0,0.3,4.58,-0.2,3.42,-0.0,344337,4.5,28286,stable
76.95,16.1,128.66,189.47,0.003,0.0012,0.59,3.13,2.15,11.99,0.41,116600,11.4,17194,degrading
43.65,2.34,57.62,82.6,0.0,0.0,0.11,4.46,-0.23,4.18,-0.01,163535,3.9,35686,stable
32.74,3.98,47.36,64.55,0.0,0.0,0.04,4.9,-0.07,4.64,0.02,150547,1.5,30261,stable
61.13,16.03,111.79,149.1,0.0012,0.001,0.47,3.05,2.33,5.52,0.56,75113,12.5,11825,degrading
454.16,63.59,1206.52,1665.48,0.0521,0.0315,1.42,1.49,3.64,26.18,1.13,22382,66.9,10622,congested
60.24,17.64,118.71,125.42,0.004,0.0028,0.48,2.74,2.49,12.84,0.5,105332,18.8,27287,degrading
277.24,64.92,561.62,971.22,0.0554,0.0345,2.12,1.54,6.37,31.78,1.11,60894,81.5,7368,congested
29.15,7.11,38.1,53.93,0.0001,0.0,0.03,4.39,-0.08,4.05,0.11,304234,3.2,7194,stable
36.08,3.96,49.12,69.6,0.0,0.0,0.09,3.76,0.27,3.33,0.2,361359,0.5,15773,stable
40.97,4.04,58.81,79.81,0.0001,0.0,0.23,4.59,-0.36,3.01,0.2,176617,2.3,6916,stable
43.19,2.11,66.41,70.29,0.0002,0.0,0.25,4.23,-0.17,4.17,0.08,173376,4.3,44245,stable
60.0,11.3,99.3,157.3,0.0038,0.0023,1.07,2.99,1.11,12.1,0.7,97013,15.7,5856,degrading
70.89,19.59,128.24,178.74,0.0026,0.0021,1.05,2.51,1.14,6.81,0.48,140528,5.1,14901,degrading
120.0,13.54,210.2,335.63,0.0042,0.0025,0.49,2.9,1.68,6.67,0.24,81706,13.2,19754,degrading
39.27,2.36,59.21,65.04,0.0001,0.0,0.28,4.82,0.41,4.97,-0.02,242175,3.3,24706,stable
102.34,17.86,181.4,281.21,0.0025,0.0008,0.67,2.52,2.66,10.49,0.39,113379,15.1,4850,degrading
55.25,3.59,86.68,90.69,0.0001,0.0,0.06,3.96,-0.41,1.58,-0.06,269177,4.0,7927,stable
120.0,9.63,219.21,245.73,0.0018,0.0015,1.15,3.41,2.68,6.06,0.34,111222,19.6,18342,degrading
61.27,13.17,92.54,164.03,0.0016,0.0012,0.34,2.84,1.9,10.88,0.3,57452,5.3,12683,degrading
32.59,7.4,43.17,64.72,0.0,0.0,0.02,3.85,-0.34,4.63,-0.03,116173,2.9,17962,stable
370.23,75.41,973.3,1295.1,0.0519,0.0415,1.59,1.3,4.77,15.23,1.74,19392,52.3,13016,congested
120.0,10.14,214.36,273.36,0.0034,0.0015,0.91,2.52,1.69,7.64,0.52,67865,5.9,10033,degrading
83.56,9.12,136.52,170.31,0.0022,0.0017,0.78,2.95,2.85,12.3,0.4,143615,17.8,28658,degrading
336.66,45.94,955.57,1383.93,0.0554,0.0349,3.26,1.79,9.39,15.26,1.14,49647,20.2,9403,congested
404.37,42.19,1132.98,1706.96,0.073,0.0445,2.22,1.01,3.98,43.92,0.59,19471,112.6,1964,congested
60.0,4.86,80.25,100.09,0.0001,0.0,0.16,3.53,0.45,4.38,0.0,346583,4.6,5704,stable
63.68,12.6,114.64,147.42,0.0014,0.0011,1.14,2.86,0.8,12.7,0.36,120061,18.7,17912,degrading
919.03,157.69,3582.27,5386.4,0.2461,0.1643,6.59,0.98,15.08,122.58,0.89,2553,561.4,1055,critical
99.23,14.89,160.97,272.92,0.0039,0.0018,0.36,3.21,1.14,11.39,0.54,64075,10.8,2448,degrading
67.15,14.47,124.85,143.59,0.0012,0.001,0.31,3.2,2.67,6.15,0.65,132323,9.1,21507,degrading
27.78,2.57,42.44,51.19,0.0,0.0,0.28,4.76,0.22,1.31,-0.06,297112,0.8,48935,stable
91.4,18.33,161.7,237.49,0.0018,0.0014,0.45,3.05,1.54,10.71,0.59,77961,18.8,28095,degrading
40.53,4.93,57.57,67.33,0.0,0.0,0.13,3.63,0.11,4.52,0.25,363618,1.1,43286,stable
39.86,3.88,60.83,67.29,0.0001,0.0,0.22,3.88,-0.05,2.54,0.29,256436,0.4,5401,stable
55.23,4.1,78.81,101.6,0.0,0.0,0.2,3.64,0.08,1.59,0.0,283684,0.5,49688,stable
39.75,4.23,60.93,69.02,0.0,0.0,0.27,4.08,-0.49,4.62,-0.06,227725,4.8,47579,stable
28.72,3.55,41.37,48.63,0.0,0.0,0.07,3.64,0.25,1.7,0.05,111313,0.7,9486,stable
90.75,9.23,137.47,242.22,0.0043,0.0021,0.33,3.1,2.76,8.23,0.39,74886,12.6,7519,degrading
90.05,16.47,143.95,189.28,0.0035,0.0028,0.64,2.75,2.4,10.98,0.35,139087,15.8,27323,degrading
46.35,2.85,69.71,77.71,0.0,0.0,0.25,3.9,-0.11,2.19,0.16,140465,2.4,17388,stable
80.98,13.45,156.05,198.86,0.0025,0.0016,1.18,2.64,1.13,9.88,0.51,104871,8.2,27842,degrading
72.24,11.27,132.3,145.11,0.0021,0.0016,0.47,3.08,0.64,14.4,0.27,145159,16.7,24926,degrading
120.0,18.06,212.51,263.04,0.0016,0.0012,0.36,2.88,2.71,12.05,0.45,68297,6.4,7265,degrading
39.63,3.62,60.86,67.68,0.0,0.0,0.13,4.49,-0.06,3.79,0.15,145859,3.9,36313,stable
462.13,75.12,1218.57,1746.25,0.0585,0.0373,1.26,2.21,4.68,43.87,1.22,51442,73.6,14175,congested
32.49,5.12,46.23,55.82,0.0,0.0,0.28,4.85,-0.29,2.04,-0.03,178421,4.5,46625,stable
47.41,7.76,62.93,87.13,0.0,0.0,0.06,4.58,0.09,3.45,0.02,162106,3.1,29725,stable
97.45,8.03,164.82,266.17,0.005,0.0015,0.37,3.09,2.38,10.66,0.21,71111,19.4,21288,degrading
68.01,17.36,104.3,158.51,0.0036,0.0029,0.68,3.4,1.18,5.94,0.79,115195,14.9,24617,degrading
96.93,14.28,175.89,229.79,0.0015,0.0011,0.52,2.99,1.08,14.51,0.59,117790,13.0,8813,degrading
56.54,4.46,81.81,99.86,0.0001,0.0,0.12,3.86,-0.4,1.72,0.22,371018,2.7,24279,stable
39.64,6.79,53.05,69.71,0.0001,0.0,0.08,3.89,-0.01,3.61,-0.05,170204,1.2,48713,stable
294.45,43.77,660.48,1228.17,0.0627,0.0329,4.61,1.65,5.82,30.79,1.15,78147,58.0,1531,congested
1014.72,129.02,2990.82,4989.12,0.205,0.164,9.43,0.8,18.34,84.35,1.71,3232,242.2,1935,critical
32.17,6.5,48.0,56.83,0.0,0.0,0.12,3.95,0.02,3.58,0.29,433225,3.6,24469,stable
40.25,6.64,61.87,76.23,0.0,0.0,0.0,4.53,-0.3,2.92,-0.02,109413,2.4,21816,stable
113.53,17.5,177.49,245.53,0.0041,0.0023,0.73,3.38,2.05,12.37,0.48,66761,6.6,20628,degrading
95.41,9.37,185.95,201.67,0.0025,0.0009,1.15,2.91,2.26,13.34,0.7,53427,10.3,895,degrading
60.0,4.69,81.68,99.17,0.0001,0.0,0.15,4.3,-0.07,1.44,0.2,375632,2.0,19659,stable
1177.76,117.19,3748.36,5621.03,0.2168,0.17,4.32,0.57,12.05,54.35,2.12,15881,236.7,1044,critical
23.96,6.1,32.1,39.32,0.0,0.0,0.03,4.61,-0.44,2.11,-0.06,312307,3.2,44651,stable
48.1,6.08,67.6,83.01,0.0,0.0,0.06,4.69,0.28,1.45,0.26,177851,3.1,49296,stable
75.77,11.03,136.36,210.68,0.0031,0.0025,0.93,3.2,2.72,5.03,0.43,51227,10.5,15003,degrading
33.13,4.3,43.76,63.51,0.0,0.0,0.21,4.31,0.33,2.09,0.26,499477,4.6,39116,stable
255.1,40.14,549.25,1137.31,0.0504,0.0325,3.46,0.95,8.83,25.75,1.59,53986,36.0,1507,congested
115.92,10.21,221.7,314.54,0.0015,0.0012,0.85,2.56,2.33,13.2,0.28,117928,18.8,7917,degrading
42.23,7.97,55.23,82.78,0.0001,0.0,0.07,3.91,0.09,3.64,-0.09,196747,2.2,17266,stable
759.61,289.12,2527.48,4149.68,0.2253,0.164,7.38,0.61,17.21,108.1,1.0,25348,208.2,3168,critical
26.21,7.6,36.79,43.06,0.0001,0.0,0.29,4.92,0.38,1.86,0.15,404356,4.9,9840,stable
61.54,11.93,117.46,129.75,0.0058,0.0008,1.16,3.3,2.4,5.22,0.57,68062,14.9,18824,degrading
1444.12,233.81,3696.52,6268.57,0.2058,0.1637,8.17,1.18,19.67,67.35,2.91,12822,269.1,4159,critical
76.24,12.29,126.5,169.09,0.0035,0.0023,0.87,3.01,1.33,6.01,0.61,80937,10.1,21668,degrading
308.52,74.31,642.32,1031.07,0.0642,0.0304,3.46,1.06,3.58,40.62,0.96,27293,89.1,6683,congested
26.19,3.78,36.61,51.96,0.0,0.0,0.12,4.03,0.33,1.18,0.02,371763,2.8,22378,stable
118.24,10.81,209.15,263.05,0.0024,0.0015,0.78,2.99,1.95,7.15,0.8,124527,8.6,8528,degrading
1972.7,62.73,5474.02,8207.5,0.2098,0.1678,3.89,0.43,13.09,106.85,1.28,29764,509.9,2904,critical
60.71,18.3,94.49,126.66,0.002,0.0016,0.34,2.65,2.33,10.95,0.6,121693,18.7,19236,degrading
67.13,13.83,104.18,150.16,0.0011,0.0009,1.06,3.03,2.87,8.53,0.35,119308,7.6,27049,degrading
225.15,73.81,515.57,898.04,0.0635,0.0415,3.61,0.88,6.59,40.09,1.05,38780,36.4,9285,congested
41.03,2.92,64.68,78.07,0.0001,0.0,0.24,4.18,0.29,4.35,0.16,191370,1.4,16427,stable
53.76,6.3,81.28,99.4,0.0,0.0,0.11,4.89,-0.44,1.37,-0.03,338085,0.8,48435,stable
60.0,2.48,86.01,114.84,0.0,0.0,0.22,4.46,0.26,4.28,0.27,272374,4.9,11567,stable
36.73,4.95,51.66,70.71,0.0,0.0,0.22,4.24,-0.47,3.47,0.06,468733,2.5,35739,stable
60.0,7.3,78.09,118.41,0.0,0.0,0.26,4.84,0.14,3.1,0.03,492000,1.6,37465,stable
42.97,7.6,59.94,77.47,0.0001,0.0,0.09,4.56,-0.3,3.69,0.29,137560,3.4,22743,stable
60.0,17.97,112.58,161.63,0.0035,0.0019,0.43,2.65,1.71,6.16,0.28,75616,5.0,8635,degrading
37.61,2.03,51.32,75.21,0.0001,0.0,0.25,4.06,-0.43,1.39,-0.04,459571,2.1,45886,stable
63.51,16.54,102.28,165.06,0.0023,0.0018,0.56,2.52,2.28,7.36,0.44,78463,8.0,2480,degrading
39.58,2.19,53.05,73.4,0.0001,0.0,0.01,4.05,0.23,2.71,-0.09,126392,3.2,48278,stable
20.0,5.92,31.03,36.2,0.0,0.0,0.13,4.63,0.25,2.06,0.13,457721,2.4,47310,stable
28.31,2.06,43.67,47.29,0.0,0.0,0.2,3.9,-0.49,3.08,0.14,485148,2.9,24087,stable
36.12,3.35,57.2,57.99,0.0,0.0,0.29,4.26,0.14,3.31,0.09,438383,3.2,40264,stable
60.0,16.49,107.13,142.54,0.0047,0.002,1.05,2.73,2.09,8.78,0.24,136135,17.3,9879,degrading
76.27,9.15,127.22,202.96,0.0011,0.0009,0.83,2.64,1.91,5.18,0.53,102177,5.6,20837,degrading
255.81,29.28,597.64,1143.0,0.0642,0.0414,3.27,1.83,8.17,33.47,1.83,11595,59.5,9287,congested
231.59,25.01,661.19,769.33,0.0537,0.035,3.98,0.73,5.16,22.95,0.69,54746,89.5,2208,congested
1060.16,205.12,2700.0,5884.57,0.2311,0.1529,8.63,0.73,7.85,59.08,2.13,20663,121.2,4200,critical
249.63,69.79,745.87,934.22,0.0589,0.042,2.0,1.38,6.16,19.49,0.91,21224,110.1,1207,congested
32.43,3.36,51.22,63.67,0.0,0.0,0.05,4.37,0.46,3.01,-0.07,348000,1.7,42940,stable
43.52,2.47,68.72,81.95,0.0,0.0,0.06,4.13,-0.21,4.06,0.21,216978,0.4,1560,stable
52.26,6.26,76.08,104.09,0.0001,0.0,0.2,3.75,0.29,3.02,0.11,244844,4.3,16598,stable
394.12,74.83,971.17,1440.84,0.0531,0.0423,3.87,0.53,6.74,44.54,1.59,69558,34.8,10811,congested
237.77,72.83,666.7,789.07,0.063,0.0371,2.83,1.06,7.63,25.89,1.78,32609,71.5,12407,congested
2000.0,112.82,7947.08,11258.13,0.2438,0.1762,6.82,0.3,18.38,80.11,1.16,2763,482.0,4143,critical
37.11,3.18,54.35,66.1,0.0001,0.0001,0.13,4.88,-0.03,2.1,-0.04,101498,2.7,6250,stable
800.37,204.86,2692.13,4262.88,0.2117,0.1621,3.23,0.72,10.84,62.68,1.88,25595,372.3,4824,critical
60.0,7.45,80.5,101.69,0.0,0.0,0.15,4.11,0.07,4.68,0.27,192007,1.5,8941,stable
98.95,11.96,159.87,212.41,0.0014,0.0011,1.07,3.09,1.42,9.41,0.67,79331,10.0,5243,degrading
56.03,6.66,81.83,107.52,0.0,0.0,0.03,4.67,-0.13,1.16,0.05,344257,0.6,46277,stable
56.16,6.41,77.03,96.96,0.0,0.0,0.08,4.04,0.47,2.94,0.19,290834,1.9,40024,stable
44.51,6.24,70.43,72.77,0.0,0.0,0.04,3.59,-0.23,1.08,0.27,221580,2.8,16585,stable
85.62,18.57,149.72,183.59,0.0022,0.0015,0.33,2.95,2.66,9.89,0.46,102654,10.7,15704,degrading
60.0,4.78,91.62,110.03,0.0001,0.0,0.27,4.02,0.06,3.48,0.29,224938,4.8,8287,stable
35.16,4.91,53.46,64.88,0.0001,0.0,0.23,3.69,0.15,4.85,-0.02,463721,3.0,29956,stable
34.32,4.77,46.62,67.46,0.0,0.0,0.24,4.85,0.29,4.39,-0.06,469625,3.1,43591,stable
1652.03,156.18,5630.84,8082.23,0.2244,0.1795,7.79,0.22,12.43,121.17,1.24,27401,527.6,2971,critical
103.6,9.92,174.88,277.07,0.0029,0.0015,0.71,2.82,0.89,14.9,0.22,81181,16.5,15856,degrading
38.47,7.93,55.64,65.22,0.0,0.0,0.15,3.75,-0.05,3.04,0.11,427960,2.6,12308,stable
71.98,17.94,125.63,169.74,0.0031,0.002,0.71,2.74,0.75,7.81,0.54,67004,5.6,13740,degrading
296.35,24.04,866.13,937.58,0.0551,0.038,2.73,0.56,3.24,34.68,1.25,79054,46.3,5590,congested
20.0,2.72,27.35,36.0,0.0,0.0,0.18,4.98,-0.33,1.19,0.21,201034,4.1,35492,stable
54.94,4.29,75.69,99.31,0.0,0.0,0.07,4.96,-0.18,3.13,-0.09,453956,3.9,10577,stable
255.72,53.27,643.15,1049.04,0.0625,0.0347,1.24,1.32,4.2,47.24,1.17,45748,56.5,7881,congested
86.13,10.0,150.66,223.63,0.0026,0.0021,0.36,2.5,2.42,7.9,0.73,68496,13.8,3727,degrading
37.75,4.62,53.36,60.83,0.0001,0.0,0.24,4.34,-0.27,1.53,0.02,442526,3.9,32611,stable
111.08,13.4,208.84,264.7,0.0012,0.0009,1.05,3.33,2.95,5.56,0.44,141358,12.0,26203,degrading
500.0,70.53,1159.7,1899.11,0.0544,0.0435,1.29,2.47,4.65,44.03,1.42,41218,93.2,845,congested
259.66,37.44,563.71,864.89,0.0619,0.0366,4.45,2.28,4.51,30.12,0.72,55372,77.2,12777,congested
32.4,7.24,47.64,56.82,0.0,0.0,0.26,4.19,0.33,2.69,0.0,493366,1.5,16862,stable
60.0,3.35,89.86,114.69,0.0,0.0,0.05,3.53,-0.34,2.51,-0.06,179071,3.8,38724,stable
33.57,5.04,52.31,65.04,0.0,0.0,0.05,4.82,0.21,4.5,-0.04,259592,1.4,1474,stable
28.07,3.53,44.28,53.62,0.0001,0.0001,0.12,3.75,-0.48,1.53,0.16,420915,4.9,17971,stable
56.95,7.15,82.52,102.51,0.0,0.0,0.06,4.81,-0.35,4.36,0.01,483850,3.5,20556,stable
49.58,5.13,78.96,81.81,0.0,0.0,0.11,3.5,-0.2,3.59,0.29,438824,0.1,45029,stable
473.76,26.36,1110.66,1900.12,0.0509,0.0357,3.51,2.36,3.88,39.18,0.68,19546,70.6,459,congested
34.44,4.44,48.73,66.06,0.0,0.0,0.28,4.87,0.45,1.98,-0.05,220910,4.5,48630,stable
49.04,3.51,65.52,89.92,0.0,0.0,0.14,4.03,-0.1,1.46,0.25,265930,1.9,33324,stable
29.83,6.02,47.17,48.75,0.0,0.0,0.15,4.37,-0.34,1.88,-0.01,272296,4.6,26567,stable
60.0,6.92,95.96,114.58,0.0,0.0,0.26,4.69,-0.2,2.17,-0.08,120342,3.3,10125,stable
39.26,6.49,61.81,69.63,0.0,0.0,0.21,3.64,-0.3,4.51,0.2,105498,1.2,11505,stable
325.44,66.54,783.5,998.35,0.0558,0.0444,3.82,2.4,5.96,42.63,1.91,13721,51.7,11129,congested
120.0,12.59,233.21,293.61,0.0033,0.0019,0.62,2.78,1.09,14.12,0.38,114807,16.8,1148,degrading
112.04,12.77,212.74,285.66,0.0044,0.0013,0.35,2.84,2.8,10.74,0.75,80941,14.5,8958,degrading
56.42,6.63,77.13,92.1,0.0001,0.0,0.27,3.75,-0.35,3.31,0.16,177847,2.0,47381,stable
32.13,2.31,46.89,58.36,0.0001,0.0,0.29,4.75,0.2,2.64,-0.03,162574,1.3,27912,stable
319.99,66.97,807.0,1407.84,0.0515,0.0373,2.98,0.99,8.05,25.41,1.63,68722,106.6,2282,congested
103.81,8.28,164.01,267.94,0.0021,0.0015,0.37,3.05,1.58,8.4,0.41,143034,9.0,13911,degrading
120.0,12.83,232.92,298.4,0.0016,0.0013,0.67,2.74,0.73,6.09,0.56,89683,18.5,14180,degrading
25.56,7.6,35.65,47.97,0.0,0.0,0.02,4.76,0.46,2.62,-0.01,107725,1.2,35296,stable
49.36,7.1,70.32,85.98,0.0,0.0,0.28,3.52,-0.23,3.81,0.25,176311,0.4,1423,stable
68.46,10.95,109.69,139.29,0.0043,0.0013,0.41,3.09,2.83,13.63,0.53,114460,19.9,15761,degrading
60.0,3.37,85.61,109.38,0.0,0.0,0.01,4.22,-0.2,4.38,0.14,281573,2.0,25365,stable
371.44,47.84,831.32,1454.1,0.0596,0.0477,2.3,1.07,5.66,19.06,1.78,63158,23.4,11442,congested
45.79,3.92,67.11,74.19,0.0,0.0,0.11,3.98,0.46,3.57,-0.09,272070,4.4,15771,stable
101.51,10.4,170.53,210.74,0.0034,0.0027,1.01,2.87,0.88,6.92,0.75,130935,9.7,28235,degrading
34.41,6.69,48.84,57.47,0.0,0.0,0.19,3.88,-0.29,4.26,0.18,408882,0.6,11977,stable
22.38,4.83,34.59,36.93,0.0,0.0,0.26,3.55,0.14,4.05,0.2,454429,3.6,46462,stable
30.57,2.25,39.95,53.47,0.0,0.0,0.14,4.91,-0.38,1.85,-0.09,273574,1.4,43625,stable
57.93,7.8,80.23,96.27,0.0001,0.0,0.02,3.89,-0.01,4.78,0.06,355897,2.1,3292,stable
39.58,6.13,56.62,67.23,0.0001,0.0,0.04,4.93,-0.05,1.74,0.12,449178,3.7,40521,stable
37.47,2.93,55.94,74.3,0.0001,0.0001,0.29,4.74,-0.38,3.03,0.26,477573,1.9,36559,stable
64.18,14.61,96.86,166.24,0.0012,0.001,1.09,3.18,2.29,11.19,0.25,55926,11.4,27949,degrading
32.01,3.22,49.0,56.5,0.0,0.0,0.18,3.87,0.29,2.99,-0.1,336536,4.0,13272,stable
40.3,7.03,56.31,80.23,0.0001,0.0,0.3,4.34,0.05,1.16,-0.04,305287,4.9,43953,stable
32.14,3.9,51.06,61.86,0.0,0.0,0.09,3.82,-0.33,3.56,0.27,303540,1.5,8798,stable
120.0,19.78,185.16,255.21,0.0035,0.0006,0.82,2.71,2.82,6.11,0.61,138589,6.3,1348,degrading
35.78,3.58,46.92,59.01,0.0001,0.0,0.08,4.91,0.41,3.27,0.04,252458,2.1,36651,stable
36.9,2.34,54.96,70.32,0.0,0.0,0.29,3.65,-0.0,2.71,0.03,358213,0.7,36116,stable
40.81,5.13,64.4,66.35,0.0,0.0,0.3,4.68,-0.23,2.06,0.03,437303,0.1,12278,stable
175.51,48.38,409.64,623.93,0.0652,0.0345,1.3,1.92,8.93,27.38,0.74,40559,68.2,14995,congested
353.61,53.65,914.84,1363.1,0.0527,0.0402,3.5,1.35,7.58,46.08,0.96,34311,87.7,14242,congested
500.0,48.65,1218.79,1692.38,0.0518,0.039,4.96,2.18,7.94,15.91,0.9,49876,91.0,10058,congested
48.67,3.93,73.86,85.15,0.0,0.0,0.06,4.35,0.15,1.53,-0.05,114169,3.8,17219,stable
87.74,11.7,133.76,219.29,0.0029,0.0016,1.14,3.1,1.71,12.66,0.35,69201,11.6,962,degrading
49.04,2.12,73.62,87.67,0.0,0.0,0.05,4.49,0.17,2.01,0.03,433919,3.8,17125,stable
34.65,2.36,47.51,61.35,0.0001,0.0,0.21,3.59,-0.46,1.67,0.19,173495,2.6,5569,stable
37.53,7.85,56.96,73.78,0.0,0.0,0.25,4.78,0.3,2.95,0.05,432550,2.5,13072,stable
33.16,7.57,50.63,65.45,0.0,0.0,0.02,3.79,0.11,4.54,0.27,323477,0.2,18781,stable
67.4,9.77,109.37,172.94,0.0014,0.0011,0.55,3.39,2.82,12.2,0.69,95785,18.8,22408,degrading
43.89,2.5,58.5,85.86,0.0,0.0,0.13,3.63,0.05,2.38,-0.09,284389,2.9,13135,stable
38.6,2.55,61.26,72.03,0.0,0.0,0.07,3.88,-0.12,1.58,0.04,373741,4.2,17296,stable
1358.5,195.21,4437.65,8129.41,0.2556,0.1611,3.14,1.11,11.82,41.71,2.01,18115,364.7,4824,critical
24.7,6.57,35.2,40.17,0.0,0.0,0.17,4.04,0.42,2.98,0.07,119267,3.0,30540,stable
80.71,9.74,137.75,182.1,0.0031,0.0025,0.57,2.76,2.49,9.68,0.43,131302,18.7,9794,degrading
57.64,7.8,90.07,105.7,0.0,0.0,0.03,3.64,-0.27,2.71,0.22,240439,0.1,24684,stable
120.0,10.5,180.82,294.72,0.002,0.0007,1.02,3.12,2.33,14.01,0.37,100306,14.0,10689,degrading
60.0,14.79,103.16,144.13,0.0021,0.0017,0.76,2.56,1.44,11.21,0.58,147304,14.1,8949,degrading
33.57,4.8,51.29,55.78,0.0,0.0,0.27,4.26,0.0,1.2,-0.09,320463,2.2,42119,stable
78.35,18.82,136.69,177.67,0.0019,0.0009,0.57,2.68,1.16,10.56,0.61,147959,8.2,6518,degrading
1588.13,283.13,6104.78,9281.53,0.2311,0.1708,5.84,0.11,9.77,84.62,1.59,15538,390.6,599,critical
51.78,4.55,70.56,102.46,0.0,0.0,0.24,4.87,-0.42,2.26,0.02,498419,2.8,44111,stable
51.46,7.61,81.12,99.17,0.0,0.0,0.06,4.78,0.01,4.93,-0.05,265001,1.7,26290,stable
120.0,15.03,200.32,253.19,0.0015,0.0012,1.15,2.91,1.79,9.51,0.47,71435,11.3,15158,degrading
103.57,13.98,190.4,211.01,0.0026,0.0015,0.67,2.98,2.77,14.47,0.47,101436,6.7,10105,degrading
2000.0,295.28,5641.47,11332.34,0.2078,0.1632,7.44,0.9,17.05,34.17,1.86,29583,489.5,1835,critical
1912.98,58.51,7378.01,8295.74,0.2041,0.1628,7.43,0.49,13.01,62.03,2.1,13555,428.0,3044,critical
78.86,16.41,123.82,217.85,0.002,0.001,0.78,3.2,2.79,9.38,0.27,142897,11.6,15175,degrading
120.0,8.01,220.34,260.39,0.0029,0.0008,0.7,3.22,2.71,14.09,0.5,85532,18.5,8212,degrading
60.0,10.68,96.12,126.32,0.0027,0.0022,0.56,2.59,1.47,10.34,0.59,91673,19.8,18962,degrading
102.73,9.69,167.4,226.19,0.0024,0.0019,1.06,2.68,1.77,9.86,0.71,64908,11.8,19277,degrading
284.92,37.38,843.38,1037.78,0.0534,0.0327,3.48,1.91,8.39,33.45,1.1,18799,60.5,8296,congested
771.53,89.75,2250.2,4278.42,0.2169,0.1615,3.2,0.66,19.8,71.18,2.86,4533,378.6,855,critical
1401.29,175.24,5098.54,6014.02,0.2011,0.1609,9.73,0.79,16.3,89.25,1.97,29533,386.4,2714,critical
1185.53,169.45,3513.47,5771.3,0.2042,0.1633,5.83,0.85,16.39,124.69,1.96,21357,479.9,3419,critical
115.1,8.99,225.54,257.4,0.0046,0.002,0.7,3.13,1.89,5.61,0.31,51356,6.6,22030,degrading
30.7,3.98,45.51,53.62,0.0,0.0,0.25,4.58,-0.27,4.9,0.17,280970,0.8,27127,stable
475.84,67.65,1059.54,2004.21,0.0612,0.0321,4.86,2.28,8.79,44.79,1.25,36230,108.4,1304,congested
32.2,2.39,51.28,60.29,0.0,0.0,0.18,3.8,0.42,4.66,0.3,449622,5.0,12989,stable
41.76,6.7,57.87,74.04,0.0,0.0,0.06,4.13,0.25,1.41,0.01,210527,2.2,49038,stable
47.38,7.84,62.23,83.04,0.0001,0.0,0.24,4.08,0.21,4.02,-0.02,444104,2.3,1801,stable
62.52,13.51,110.37,133.53,0.0018,0.0013,0.86,2.54,1.26,12.22,0.24,123625,12.6,23594,degrading
119.56,9.01,192.98,269.45,0.0036,0.0016,0.74,2.93,1.8,12.28,0.74,61846,6.2,9950,degrading
410.47,51.2,1160.01,1621.44,0.0696,0.0314,1.83,2.09,8.09,36.51,1.9,22467,36.3,13645,congested
91.57,14.97,149.14,250.79,0.0035,0.0013,1.05,3.26,1.7,9.25,0.46,76176,14.1,2242,degrading
